created_at	text	user__location	entities__hashtags__text		entities__hashtags__text			
Mon Nov 02 22:36:55 +0000 2015	My teacher told me that I'm her hero bc Im so confident in what I believe in as a Christian and that she wished she was like that as a child	NY						
					Flashback	2		344
					noenhancements	2		
					high	1		
Mon Nov 02 22:36:56 +0000 2015	@colleen_farr your avi made me double take and go to follow you but i was like oop already follow her ??	New York City			fade	2		
					clean	2		
					haircut	2		
					thebarberpost	2		
Mon Nov 02 22:36:57 +0000 2015	|CLASSIC MAN|. #Flashback #noenhancements #high #fade #clean #haircut #thebarberpost #dope #hair… https://t.co/1YNvgBQFPg	 NY · ORL · T&T	Flashback		dope	2		
			noenhancements		hair	2		
			high		marypoppins	1		
			fade		kodaktheatre	1		
			clean		free	1		
			haircut		pizza	1		
			thebarberpost		planetfitness	1		
			dope		nyc	8		
			hair		leruffo	1		
Mon Nov 02 22:37:00 +0000 2015	@sofiiapatria tru that!!!!!!??	null			washingtonheights	1		
					ny	1		
					denvercon	1		
					Writing	1		
Mon Nov 02 22:37:00 +0000 2015	T squared! Chillin at the sound booth. Ready for tech week kick off! #marypoppins #kodaktheatre… https://t.co/hRPYRaRS2q	"Rochester, NY"	marypoppins		job	20		
			kodaktheatre		MountVernon	1		
					Hiring	17		
					BusinessMgmt	2		
Mon Nov 02 22:37:01 +0000 2015	I fucking love pedicures idc	"Wayne, NJ"			NewYork	9		
					CareerArc	10		
					JebNoFilter	1		
					GOP	1		
Mon Nov 02 22:37:01 +0000 2015	@Harry_Styles @hedgefroglourry UGH IM SAD AF @yeetforobama	"Manhattan, NY"			JebCanFixIt	1		
					OpKKK	1		
					surreal	1		
					nightsky	1		
Mon Nov 02 22:37:01 +0000 2015	Feeling bitchy here's a subtweet about someone I just unfollowed: ur a boring wannabe and ur dog isn't that cute	nyc			sunset	1		
					lateafternoon	1		
					afternooncommute	1		
					PMcommute	1		
Mon Nov 02 22:37:01 +0000 2015	@JayVeeThree @JohnBarchard eagles don't need safeties :)	NYU 			KobeBeef	1		
					Wagyu	1		
					USDA	1		
					PrimeSteaks	1		
Mon Nov 02 22:37:02 +0000 2015	"@glennbeck @Reince @GOP @realDonaldTrump  switching party to vote for him. Want to kill the party, keep being inflexible and stay hard right"	Connecticut			Hospitality	3		
					Woodbridge	2		
					RickandMorty	1		
					Broncos	1		
Mon Nov 02 22:37:03 +0000 2015	My commute is better than yours. https://t.co/h7mypDVNsK	NYC 			Huntington	1		
					Veterans	3		
					BlackFriday	1		
					Rochester	1		
Mon Nov 02 22:37:03 +0000 2015	@calscorpsebride IM LAUGHISNDNSK HAHAHAHA AWWW	inside			traffic	1		
					GrowTheGame	1		
					KateJackson	1		
					mlm	2		
Mon Nov 02 22:37:03 +0000 2015	@Juless_2e ???????? https://t.co/V1UpbYk4zb	null			TheOC	1		
					PatientsCount	1		
					FCP4C	1		
					patients	1		
Mon Nov 02 22:37:03 +0000 2015	This.  https://t.co/b3kOirO2rE	"Putnam, CT"			fig	1		
					halloween	3		
					trickortreat	1		
					chathamny	2		
Mon Nov 02 22:37:03 +0000 2015	@MAGCONTOUR I can't wait ??????	New York 			Repost	3		
					feeding	1		
					the	1		
					cat	1		
Mon Nov 02 22:37:03 +0000 2015	#free #pizza ??????monday #planetfitness #nyc #leruffo #washingtonheights #ny nunca lonimagine lol @… https://t.co/3phRQoArdz	new york	free		colony	1		
			pizza		inwood	1		
			planetfitness		these	1		
			nyc		kitties	1		
			leruffo		need	1		
			washingtonheights		a	1		
			ny		home	1		
Mon Nov 02 22:37:04 +0000 2015	"""My girl Sofia , ugh what an aged she is"	null			asap	1		
					plus	1		
					they	1		
					are	1		
Mon Nov 02 22:37:04 +0000 2015	Why haven't I used snapchat lately https://t.co/6EFHa3Odg4	New York/New Jersey			all	1		
					100bottlegiveaway	1		
					trippydrops	1		
					tyrannosaurus	1		
Mon Nov 02 22:37:04 +0000 2015	?????????? deben de brechar mejor si es que van a brecharrr	NEW YORK CITY			trex	1		
					dinosaur	1		
					fossil	1		
					museum	1		
Mon Nov 02 22:37:04 +0000 2015	Anyone selling a last minute j2 op first session for #denvercon ? I have paypal!!!!!!	jensen's left pocket 	denvercon		naturalhistorymuseum	1		
					amnh	1		
					EastIslip	1		
					Retail	3		
Mon Nov 02 22:37:04 +0000 2015	Love this! You rock @McAdorey!  https://t.co/cDfX1zsmaj	"Fort Lauderdale, FL"			sorrynotsorry	1		
					VetteryLife	1		
					MinorityReport	1		
					Westbury	1		
Mon Nov 02 22:37:05 +0000 2015	"Join the Aerotek team! See our latest #Writing #job opening here: https://t.co/HpWFcSI0lf #MountVernon, NY #Hiring"	"New York, NY"	Writing		security	1		
			job		hostingfail	1		
			MountVernon		thankyou	1		
			Hiring		BFOG	1		
Mon Nov 02 22:37:05 +0000 2015	I hope @Drake and @Wale get on a record ??	"Washington Heights, New York"			acronyms	1		
					Big	1		
					Fierce	1		
					Outrageous	1		
Mon Nov 02 22:37:05 +0000 2015	@VernonDavis85 Welcome to Broncos Country!!	"Yardville, NJ "			Goals	1		
					mondaymotivation	1		
					science	1		
					forensicfiles	1		
Mon Nov 02 22:37:07 +0000 2015	@brian_cristiano what's your thoughts on Twitter evolving its platform?	null			fieldtrips	1		
					CustomerService	1		
					interpreter	1		
					bilingual	1		
Mon Nov 02 22:37:07 +0000 2015	Getting me tight https://t.co/c5vE3RjBjc	Down|NYC|Town 			Jobs	9		
					Jazz	9		
					worldmusic	9		
					guitarist	9		
Mon Nov 02 22:37:08 +0000 2015	I hope Uribe returns. Reed as well. The others I'm lukewarm on.	null			siri	1		
					roomies	1		
					menswear	1		
					instadaily	1		
Mon Nov 02 22:37:08 +0000 2015	"@leighalexander pls welcome to the stage, Queen of House Music Leigh Alexander"	ATM vestibule w Jill Goodacre			BYE	2		
					FAV	3		
					RT	2		
					YouTube	1		
Mon Nov 02 22:37:08 +0000 2015	No need to bridge. They’re one in the same. https://t.co/4bGyecefYE	"Center Valley, PA"			Halloween2015	2		
					helsinkihalloween	1		
					helsinkihudson	1		
					beastcoast	1		
Mon Nov 02 22:37:09 +0000 2015	Niggas dead go everywhere with that hoverboard shit	NY 			bongbeauties	1		
					FuckYouMonday	1		
					Clerical	2		
					OfficeTeam	1		
Mon Nov 02 22:37:09 +0000 2015	Too funny  https://t.co/kKjokH7m9F	"Manhattan, NY"			bouncemademedoit	1		
					Sundayfunday	1		
					lovemysport	1		
					SailorGirl	1		
Mon Nov 02 22:37:09 +0000 2015	Me parezco más a Moe. @____frost	Alyasira 			adventures	1		
					miasorella	1		
					manhattan	1		
					love	1		
Mon Nov 02 22:37:10 +0000 2015	I need to cop amber roses book	null			greatesttravels	1		
					wanderlust	2		
					infashion	1		
					fashion	1		
Mon Nov 02 22:37:10 +0000 2015	"Join the 24 Seven team! See our latest #BusinessMgmt #job opening here: https://t.co/qrkK2wAJ62 #NewYork, NY #Hiring #CareerArc"	"New York, NY"	BusinessMgmt		frogs	1		
			job		flowerfrog	1		
			NewYork		realitysandwich	1		
