created_at,text,entities__hashtags__text,entities__hashtags__text,
Tue Nov 03 21:02:44 +0000 2015,Bro if Lira and Ross broke up I'm going to cry.,,,
,,,Chicago,8
,,,habs,1
,,,gohabsgo,1
Tue Nov 03 21:02:45 +0000 2015,"Under Armour will introduce ""Star Wars""-themed products for women soon after the sportswear maker received some backlash",,theatre,1
,,,Georama,1
,,,job,13
,,,Healthcare,2
Tue Nov 03 21:02:48 +0000 2015,#Chicago https://t.co/slhZiXnXtx,Chicago,Hiring,13
,,,CareerArc,6
,,,TrumpBookPressConference,1
,,,CrippledAmerica,1
Tue Nov 03 21:02:50 +0000 2015,@talrosenberg @MikeSula LITERALLY A FUCKING EGG,,APHA15,1
,,,thoughtoftheday,1
,,,Ghanian,1
,,,webdesign,1
Tue Nov 03 21:02:51 +0000 2015,Hello #habs #gohabsgo @CanadiensMTL from https://t.co/0nCdTpchzX https://t.co/Jvr6qcMVo7,habs,hiring,13
,,gohabsgo,Job,13
,,,goleafsgo,1
,,,tmltalk,1
Tue Nov 03 21:02:51 +0000 2015,I didn't wanna take an uber to work today ... but guess Ima have no choice cus I'm still at home tryna call /talk to my girl before I go 😕,,leafs,1
,,,Hospitality,5
,,,Elizabeth,1
,,,Jobs,6
Tue Nov 03 21:02:52 +0000 2015,Fuck you @twitter,,Irony,1
,,,BiharElections,1
,,,PearlPrimus,1
,,,Dance,1
Tue Nov 03 21:02:55 +0000 2015,"@spgassist Return my 36,000 points and I'll return.",,Bloomington,1
,,,snoopy,1
,,,ChiSmallBizExpo,1
,,,Veterans,3
Tue Nov 03 21:02:55 +0000 2015,Aggravated asf 😒,,nature,2
,,,roses,1
,,,Underwriting,1
,,,Petty,1
Tue Nov 03 21:02:56 +0000 2015,"We're cruising through the #theatre district of #Chicago, log in and ask #Georama guide Eric any questions! https://t.co/Bsq4rnbCao",theatre,funny,1
,,Chicago,true,1
,,Georama,bruins,1
,,,bostonbruins,1
Tue Nov 03 21:02:56 +0000 2015,Understand that I don't wanna talk to you 😂,,GOPeMafia,1
,,,quiz,1
,,,regrets,1
,,,flames,1
Tue Nov 03 21:02:57 +0000 2015,Group chat is lit rn 💀,,Olicity,1
,,,CostanQueen,1
,,,Arrow,1
,,,chiraq,1
Tue Nov 03 21:02:58 +0000 2015,"See our latest #Chicago, IL #job and click to apply: Pharmacy Technician - https://t.co/xMF5XS22QT #Healthcare #Hiring #CareerArc",Chicago,dotherightthing,1
,,job,StuntingIsAHabit,1
,,Healthcare,PureMichigan,1
,,Hiring,sunshine,1
,,CareerArc,fall,1
Tue Nov 03 21:02:59 +0000 2015,Downtown portraits https://t.co/Ysod3MJR3f,,nurseoftheyear,1
,,,aquarium,1
,,,SONIC,1
,,,Montgomery,2
Tue Nov 03 21:03:03 +0000 2015,"#TrumpBookPressConference Says he will give away profits from #CrippledAmerica to Vets, Wounded Warriors & others.",TrumpBookPressConference,forevergoals,1
,,CrippledAmerica,NationalSandwichDay,1
,,,SaveLunchBreak,1
,,,Augusta,1
Tue Nov 03 21:03:03 +0000 2015,Gotta love all the perverted pick up lines  and sexual comments from guys at work. 😒,,FacilitiesMgmt,1
,,,Montreal,1
,,,NDG,1
,,,NetworkingPro,1
Tue Nov 03 21:03:05 +0000 2015,"this quote is me, minus the part about having a kid. https://t.co/RNiVh65UEs",,Browns,1
,,,Broncos,1
,,,CFPrankings,1
,,,success,1
Tue Nov 03 21:03:06 +0000 2015,@mcbriggins I don't like it. Not one bit.,,life,1
,,,linguistjokes,1
,,,parentingfail,1
,,,ugh,1
Tue Nov 03 21:03:07 +0000 2015,Happiness ☀️☄,,dorking,1
,,,worktimeisplaytime,1
,,,SpeakUp,1
,,,DarriusStewart,1
Tue Nov 03 21:03:07 +0000 2015,@BetYouWontAtMe finally 🙌🏻,,wmcan5,1
,,,MONTGOMERY,2
,,,onhere,1
,,,ForestPark,1
