created_at,text,entities__hashtags__text,entities__hashtags__text,
Tue Nov 03 21:15:20 +0000 2015,Stats actually do cover that too if you look at the difference with the coach their and without.  https://t.co/IRUUTfP2Cc,,,
,,,hiring,11
,,,job,13
,,,Mesquite,1
Tue Nov 03 21:15:29 +0000 2015,"We're #hiring! Read about our latest #job opening here: ME-Production(5305) 2nd - https://t.co/dtxbq9Ynh9 #Mesquite, TX #Labor #CareerArc",hiring,Labor,1
,,job,CareerArc,5
,,Mesquite,Truth,1
,,Labor,Parkthe20,1
,,CareerArc,Healthcare,2
Tue Nov 03 21:15:30 +0000 2015,This is me as a doctor  https://t.co/DLT9qApcqA,,Odessa,1
,,,EverythingIsCopacetic,1
,,,tuesdaydrinkin,1
,,,HealthWelfare,1
Tue Nov 03 21:15:31 +0000 2015,"I always enjoy voting.  I think of it as a very small gesture, to honor our men and women stationed overseas. https://t.co/vicXufW3lT",,Dallas,8
,,,Hiring,11
,,,NTXBW,1
,,,Richardson,1
,,,Retail,1
,,,Job,13
,,,Jobs,5
,,,slowprocess,1
,,,wip,1
,,,workinprogress,1
,,,psyexpression,1
,,,psyexpressionism,1
Tue Nov 03 21:15:31 +0000 2015,"@Og_Pvpi nothing, that I know of.",,Nursing,1
,,,dallas,8
,,,texas,1
,,,womenstacklefootball,1
Tue Nov 03 21:15:32 +0000 2015,Crying😂😂 https://t.co/R8vbgLzuQ9,,wedemgirlz,1
,,,beELITE,1
,,,Tuesdaythoughts,1
,,,drinklocal,1
,,,Clerical,1
Tue Nov 03 21:15:36 +0000 2015,learning how to control my attitude is the hardest thing ever.,,newhome,1
,,,idealhome,1
,,,Hospitality,1
,,,Veterans,2
Tue Nov 03 21:15:36 +0000 2015,"@tomjensen100 The title is FALSE reporting! The race I saw, Kurt Busch pushed @keselowski into crybaby @mattkenseth #Truth #Parkthe20",Truth,Sales,1
,,Parkthe20,IT,1
,,,NettempsJobs,1
,,,IRVING,1
Tue Nov 03 21:15:38 +0000 2015,"This #Healthcare #job might be a great fit for you: Full Time Utpb Software System Specialist - https://t.co/aBGL7TXYCF #Odessa, TX",Healthcare,BusinessMgmt,1
,,job,ISwear,1
,,Odessa,Finance,1
,,,RoyalsParade,1
Tue Nov 03 21:15:39 +0000 2015,The weeknd and my room all day,,MUFCvCSKA,1
,,,ChampionsLeague,1
,,,MCM,1
,,,savebenji,1
Tue Nov 03 21:15:40 +0000 2015,Why can't I have like a whole day to sleep and not stress about anything.,,Lyrics,1
,,,MusicIsLife,1
,,,golf,1
,,,GAA,1
Tue Nov 03 21:15:41 +0000 2015,🐼↖           ↘️           ↗️          ↖️   ↗️   ↘️   ↗️              ↗️           ↗️,,team,1
,,,BestTeamEver,1
,,,WeGotThis,1
,,,nothighschoolanymore,1
