created_at,text,entities__hashtags__text,entities__hashtags__text,
Wed Nov 04 21:50:40 +0000 2015,LAFSC newsletter featuring @jeBAEby and @josiahwood 🖖🏼 https://t.co/t8Ic5rV852,,,
,,,hiring,12
,,,job,16
,,,AMAs1D,7
Wed Nov 04 21:50:41 +0000 2015,Currently missing you @HoodieAllen https://t.co/ovmrdxL7j8,,UKVOTY1D,6
,,,ikatnails,1
,,,nails,1
,,,nailart,1
Wed Nov 04 21:50:41 +0000 2015,The excellence of a gift lies in its appropriateness rather than in its value. - Charles Dudley Warner https://t.co/CCngagUFZM,,fallnails,1
,,,naildesign,1
,,,chinaglaze,1
,,,fall,1
Wed Nov 04 21:50:41 +0000 2015,@mashable @mMkotch,,midiring,1
,,,almondshapednails,1
,,,Gardena,1
,,,Retail,1
Wed Nov 04 21:50:41 +0000 2015,My heart is heavy.,,Hiring,12
,,,CareerArc,7
,,,OhBaby,1
,,,WestSideWednesday,1
Wed Nov 04 21:50:41 +0000 2015,Should've gone to eat by myself 😒,,LGBFlyIn15,1
,,,GodTrivia,1
,,,BeverlyHills,2
,,,Legal,2
Wed Nov 04 21:50:42 +0000 2015,@LisaFurioso well we will be there thursday afternoon because we have to go to pick up our Avengers 5K runner packets.,,VariousUSCities,2
,,,ISmileBack,1
,,,guncontrol,1
,,,SevenEleven,1
Wed Nov 04 21:50:44 +0000 2015,@EdgarAllenDro ditto. Nonetheless the price for annual passes! That's a flight or $ for so many sweet experiences,,LA,2
,,,Hollywood,3
,,,SantaMonica,1
,,,beach,1
Wed Nov 04 21:50:45 +0000 2015,"New Event: ""TRAFFIC/JAM"" @ Pasadena Civic Center Loading Dock  (Pasadena, CA) https://t.co/NOOh31IZYh https://t.co/T3qRYryWNX",,beautiful,1
,,,sun,1
,,,aymannsproductions,1
,,,allyouneedisguitaranddrums,1
Wed Nov 04 21:50:46 +0000 2015,Happy @Movember™| ❗️ https://t.co/huVIJadf5v,,TakeTheCrown,1
,,,Royals,1
,,,losangeles,6
,,,ScottBrown,1
Wed Nov 04 21:50:48 +0000 2015,"New Event: ""El Grande CIRCUS de Coca-Cola"" @ The Colony Theatre (Burbank, CA) https://t.co/myRpbLQl5N https://t.co/Gdrx3n2KTw",,JBush,1
,,,media,1
,,,Repost,3
,,,unite4good,1
Wed Nov 04 21:50:49 +0000 2015,@jaimeebeyer Gorgeous dahhhling 😍❤️🔥,,wve,1
,,,megamedia,1
,,,setlife,1
,,,DTLA,1
Wed Nov 04 21:50:49 +0000 2015,"@KaeKat16 @AllieTRoses it's quite the fashion statement, too bad it never took off",,architecture,1
,,,SommCamp,1
,,,9DaysUntilMITAM,1
,,,Transportation,1
Wed Nov 04 21:50:49 +0000 2015,We're #hiring! Read about our latest #job opening here: Macy's Seasonal Asset Protection / Loss Prevention... - https://t.co/z5n4UojLHb,hiring,Job,16
,,job,LACRESCENTA,1
,,,Jobs,2
,,,Periscope,1
Wed Nov 04 21:50:49 +0000 2015,@okayshaila @ughniyaa https://t.co/EOxBCEQMZn,,coversong,1
,,,WeCanDream,1
,,,Veterans,1
,,,Nursing,3
Wed Nov 04 21:50:50 +0000 2015,Wow I got some real ass friends! Shout out to y'all 💘,,NorthHollywood,1
,,,handicap,1
