created_at,text,entities__hashtags__text,entities__hashtags__text,
Fri Nov 06 21:19:27 +0000 2015,Now what? 😞,,,
,,,Retail,3
,,,job,15
,,,Lincolnwood,1
Fri Nov 06 21:19:27 +0000 2015,"Can you recommend anyone for this #Retail #job? https://t.co/KUoosts7xP #Lincolnwood, IL #Hiring #CareerArc",Retail,Hiring,13
,,job,CareerArc,7
,,Lincolnwood,Sales,2
,,Hiring,Chicago,10
,,CareerArc,photo,1
Fri Nov 06 21:19:30 +0000 2015,@times_gene @withsaltandwit @robinbain so glad you liked it!!,,Engineering,1
,,,Job,15
,,,Jobs,9
,,,Transportation,1
Fri Nov 06 21:19:33 +0000 2015,@Just_Phintastic your age is showing,,WINCHESTER,1
,,,NowPlaying,1
,,,burnitup,1
,,,lhs210excellence,1
Fri Nov 06 21:19:33 +0000 2015,"Can you recommend anyone for this #Sales #job? https://t.co/vhm3qZBwzU #Chicago, IL #Hiring",Sales,CassCity,1
,,job,Veterans,3
,,Chicago,TheMadnessTour,1
,,Hiring,Hospitality,1
Fri Nov 06 21:19:35 +0000 2015,Tasty IPA with fish & chips - Drinking a GoneAway by @halfacrebeer at @millerspub  — https://t.co/JNOtketgtZ #photo,photo,parttime,1
,,,ElmwoodPark,1
,,,Michigan,1
,,,REAL,1
Fri Nov 06 21:19:36 +0000 2015,@HotTubFun1 @TeresaPowaga oh snap. I guess you'll have to have Teresa drop you off son. Dad will be at home with a beer. Waiting.,,productive,1
,,,adulting,1
,,,Nursing,1
,,,longhairdontcare,1
Fri Nov 06 21:19:36 +0000 2015,I'm so sick of looking for the ever elusive quarter inch headphone jack so I just ordered 50 of them on @eBay,,cantfuckwithmyhairgame,1
,,,love,1
,,,HulkSmash,1
,,,TGIF,1
Fri Nov 06 21:19:37 +0000 2015,@Al_Lietzz lemont rn !! I'll be there later tho 😚,,HAPPYHOUR,1
,,,DoItLikeMeChallenge,1
,,,hiring,13
,,,Palmyra,1
Fri Nov 06 21:19:38 +0000 2015,@xokaiitttxo whats wrong with people smh,,JOENICHOLS,1
,,,airlines,1
,,,togetherweswarm,1
,,,sad,1
Fri Nov 06 21:19:39 +0000 2015,Where's the nearest cemetery? 😭@_PrettyAshhh @FashionGeekJay,,scum,1
,,,ladyblaze,1
,,,BeerMenus,1
,,,EnlightenmentisSexy,1
Fri Nov 06 21:19:41 +0000 2015,"@lacydev & @knilob: Congrats on @BikeLeague certification as a Bicycle Friendly U! Gotta gloat, though, that @IL_Wesleyan did it first. 😋",,TVD,1
,,,friendship,1
,,,chicago,10
,,,digethics5,1
Fri Nov 06 21:19:41 +0000 2015,@fbc_dero Anthony Jackson Lil ant lil fat ass,,SCTWEET,1
,,,magic,1
,,,OrlandPark,1
,,,OneWeekUntilPURPOSE,1
Fri Nov 06 21:19:42 +0000 2015,"When someone orders one hundred and twenty $5 gift cards, I wear the receipt as a necklace😎 @Barista_Life_ https://t.co/UV5IiGY1ZG",,ParkRidge,1
,,,Healthcare,1
,,,ishopperrycrossing,1
,,,Depends,1
Fri Nov 06 21:19:43 +0000 2015,@david_foss Are there really people on here freaking out about it?,,Underwriting,1
,,,bruiseralert,1
,,,LakeSt,1
,,,,
Fri Nov 06 21:19:44 +0000 2015,@griffion713 I do!!!,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:19:44 +0000 2015,@whitneydawn @RandiMShaffer @haleybemiller @Jim_Jaworski im yngr than u all. c how i type in abbvs,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:19:45 +0000 2015,@FlickrHelp Your search function seems to be broken. Everything is coming up 0 results. Friend is having the same issue.,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:19:45 +0000 2015,Boy I gave you all my heart & all you did was tear it up😫,,,
,,,,
,,,,
,,,,
Fri Nov 06 21:19:46 +0000 2015,@EmilyHartner lets go to jail together 😏☺️😋😝😝,,,
,,,,
,,,,
,,,,
