created_at,text,entities__hashtags__text,entities__hashtags__text,
Mon Nov 09 21:05:49 +0000 2015,https://t.co/B3dLOO1AEF https://t.co/hpz5PuxHEW,,,
,,,hiring,8
,,,job,9
,,,Chicago,38
Mon Nov 09 21:05:53 +0000 2015,somebody must have written about this.,,hat,1
,,,TitleofBenCarsonsNextBook,2
,,,chicago,38
,,,kinglouie,30
Mon Nov 09 21:05:53 +0000 2015,@danielsahyounie  follow me back ! 😭 win @luke_brooks and be my 4/5 x25 ❤️#skipfollowmeyoudick,,AskNashAndCam,9
,,,RealEstate,1
,,,Job,9
,,,Jobs,2
Mon Nov 09 21:05:53 +0000 2015,"We're #hiring! Read about our latest #job opening here: Staff Civil Engineer - https://t.co/hrLHyzCVAD #Chicago, IL https://t.co/QAMXw5KYNK",hiring,Hiring,8
,,job,hailsatan,1
,,Chicago,IStandWithStarbucks,1
,,,twistout,2
Mon Nov 09 21:05:54 +0000 2015,@punch_2theface @joannamma @criscyborg @MieshaTate @tonyaevinger @CatZingano  Lol! You forgetting someone?,,natural,2
,,,salonpressure,2
,,,nadling,2
,,,real,1
,,,prozak,1
,,,xanax,1
Mon Nov 09 21:05:55 +0000 2015,"There's so so so much more to life than high school, life hasn't even started yet",,Manufacturing,1
,,,fucktrump2016,1
,,,allaboutratings,1
,,,hireme,1
Mon Nov 09 21:05:55 +0000 2015,Working on some freshly made salsa! @ Rock Bottom American Pub https://t.co/pawgyyDTYZ,,Namastelife,1
,,,Bearcats,2
,,,GH,2
,,,JaSam,1
Mon Nov 09 21:05:56 +0000 2015,@GoldenWok_II Sometimes. Not every place is 100%. I'm sure you know what I mean. 😄,,FNIchat,1
,,,2K16,1
,,,Bulls,1
,,,SeeRed,1
Mon Nov 09 21:05:56 +0000 2015,"Sportin' that 'Perfume World Tour' hat at school tho #hat @ 623 S. Wabash,Columbia College https://t.co/Nv8yuTgKv6",hat,Sales,1
,,,CareerArc,4
,,,ruffday,1
,,,whosjarvis,1
Mon Nov 09 21:05:57 +0000 2015,@Smiley_Meagon idk I'm not even on the road yet,,BAALaw,1
,,,parttime,1
,,,ElmwoodPark,1
,,,Hospitality,1
