created_at,text,entities__hashtags__text,entities__hashtags__text,
Mon Nov 09 21:11:17 +0000 2015,#DominicanDating - Latin Singles Seek Dating at https://t.co/m8oITv4Qoq  #SantoDomingo  #Chicascaliente #chicas https://t.co/kxyncCwVV4,DominicanDating,DominicanDating,1
,,SantoDomingo,SantoDomingo,1
,,Chicascaliente,Chicascaliente,1
,,chicas,chicas,1
Mon Nov 09 21:11:19 +0000 2015,@SAS @iflymia @Oslolufthavn @CPHAirports  #FL's iconic #tourism ad: When You Need It Bad We've Got It Good (1970s) https://t.co/Rj5ouOX3li,FL,FL,1
,,tourism,tourism,1
,,,,0
,,,MiamiInfluencers,1
Mon Nov 09 21:11:20 +0000 2015,"I love adrenaline, I won't even fold I do things better in the heat of the moment.",,CVSMeetUps,1
,,,LakeWorth,1
,,,Accounting,1
,,,Job,10
Mon Nov 09 21:11:20 +0000 2015,Meeting local #MiamiInfluencers over a lovely lunch @BrioItalian. Thanks for hosting the #CVSMeetUps @CVS_Extra. https://t.co/5cAZDGJ8F8,MiamiInfluencers,Jobs,5
,,CVSMeetUps,Hiring,9
,,,CareerArc,6
,,,CocoaBeach,2
Mon Nov 09 21:11:22 +0000 2015,such a cutie ilh https://t.co/xhc1EJpUfp,,sobe,1
,,,family,1
,,,workandplay,1
,,,cabanna,1
,,,miami,9
,,,love,2
Mon Nov 09 21:11:26 +0000 2015,🌲🌲🌲 @ Ocala National Forest https://t.co/9uXFnQ18cz,,Vikings,1
,,,Mcm,1
,,,Jamal,1
,,,birthday,1
Mon Nov 09 21:11:28 +0000 2015,me listening to love yourself @justinbieber https://t.co/q4DL1wu01y,,Veterans,2
,,,Awkward,1
,,,SoccorMom,1
,,,SouthRidge,1
Mon Nov 09 21:11:29 +0000 2015,"I'm at Reunion Resort- Luxury Villa Golf & Spa Resort in Florida, FL https://t.co/pg2DzJJ1uH",,SpartanForLife,1
,,,AskCamAndNash,2
,,,AskNashAndCam,1
,,,EP,1
Mon Nov 09 21:11:31 +0000 2015,I guess I can't say anything now,,Sales,1
,,,job,10
,,,Miami,9
,,,NAPLES,1
Mon Nov 09 21:11:35 +0000 2015,All I want to do is cry right now and o can't because I'm in public,,bendj,1
,,,house,1
,,,music,1
,,,Florida,1
Mon Nov 09 21:11:36 +0000 2015,@JustoFLY_ nah they be really doing some dumb shit like they get n get hit,,hiring,9
,,,Transportation,1
,,,LAKELAND,1
,,,LoveYourself,1
Mon Nov 09 21:11:42 +0000 2015,"I'm at Reunion Resort Center Bar in Kissimmee, FL https://t.co/qzw2lSKwCy",,Amando,1
,,,KarasMagazine,1
,,,latepost,1
,,,FamilyVacation,1
Mon Nov 09 21:11:44 +0000 2015,"I'm at Disney's Hollywood Studios - @waltdisneyworld in Lake Buena Vista, FL https://t.co/3Z1KGoqRYs",,Labor,1
,,,B2B,1
,,,Tampa,1
,,,DesignatedPatrolAreaAvailable,1
Mon Nov 09 21:11:48 +0000 2015,SweeT ~fantabulous pic of y'all!! 😊 Long time Charlie fan 😀 https://t.co/0y4Mv0KM4k,,orlpol,1
,,,opd,1
,,,hcic15,1
,,,Orlando,1
Mon Nov 09 21:11:49 +0000 2015,Take care of my woes,,Clerical,1
,,,gopenskecareers,1
,,,Retail,1
,,,OER,1
Mon Nov 09 21:11:51 +0000 2015,@PortalPaivaBR vou assistir mais tarde tbm TeamCassandra,,inacol15,1
,,,Healthcare,2
,,,SouthBeach,1
,,,MiamiBeach,1
Mon Nov 09 21:11:51 +0000 2015,Hitting Disney animal kingdom - there's my camera shy man in the background trying his best to get… https://t.co/KKtbfcVKq9,,nashvillecinematographer,1
,,,nashvillephotographer,1
,,,sofuckinghot,1
,,,Repost,1
Mon Nov 09 21:11:52 +0000 2015,Home sweet home!!! Disney fun!!! @ Disney's Magic Kingdom https://t.co/hoen7hl9Cq,,DigCit,1
,,,,
,,,,
,,,,
Mon Nov 09 21:11:52 +0000 2015,"Staff Accountant - Robert Half Finance & Accounting: (#LakeWorth, FL) https://t.co/tP5a2B9jsj #Accounting #Job #Jobs #Hiring #CareerArc",LakeWorth,,
,,Accounting,,
,,Job,,
,,Jobs,,
,,Hiring,,
,,CareerArc,,
Mon Nov 09 21:11:51 +0000 2015,Peter Malnati made approx. 500 feet of combined putts this week (looking up exact total now). PGA Tour record book: https://t.co/na62pacPC8,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:11:55 +0000 2015,Yum I want Jamaican bread,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:11:56 +0000 2015,rft https://t.co/OAWiEPcGmC,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:11:57 +0000 2015,grind time 😈💪🏽,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:11:58 +0000 2015,Caleb  https://t.co/8Q0QUoncxW,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:11:59 +0000 2015,@4Yungmia u tryina fight?,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:11:59 +0000 2015,One of a flock of ten magnificent frigatebirds visiting #CocoaBeach this afternoon. https://t.co/3rzPpfrQok,CocoaBeach,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:02 +0000 2015,@Arctomian Thank you for that awesome thoughtful support!,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:02 +0000 2015,My mother fucking goals,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:02 +0000 2015,@WakaFlocka Me either...so im tryna make it b4 2016,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:04 +0000 2015,Tbh he's cute  https://t.co/ljjMtYcqTs,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:04 +0000 2015,"3rd time! (@ Osborne Family Spectacle of Dancing Lights in Bay Lake, FL) https://t.co/fgA9Gg7Ru0",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:05 +0000 2015,Snap meeeee https://t.co/TJT4gfyCtr,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:05 +0000 2015,@KiddRyze you drunk man 😂,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:06 +0000 2015,Just make the damn game! https://t.co/4X2wKlRELU,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:06 +0000 2015,"""We crave what we cant attain, But we disrespect what we cant escape..""",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:12:08 +0000 2015,So annoyed.,,,
,,,,
,,,,
,,,,
