created_at,text,entities__hashtags__text,entities__hashtags__text,
Mon Nov 09 20:58:50 +0000 2015,Soon @LucasEnt - @DraeAxtellXXX power fucks @RikkYorkxxx bareback ➜ https://t.co/2FsNs10JKe https://t.co/VtICfp2ePb https://t.co/B3X2FMxBhW,,,
,,,moreplease,1
,,,sobitartphotography,1
,,,maracas,1
,,,LoveYourself,9
,,,womenofthehour,1
,,,FireBillyKing,1
,,,nephew,1
,,,mylove,1
,,,Christmas,1
,,,goodgirl,1
,,,hiring,23
,,,Education,1
,,,VirtualNYCity,1
,,,Job,26
,,,Jobs,16
,,,CareerArc,13
,,,Hospitality,3
,,,Veterans,7
,,,Hiring,23
,,,Google,1
,,,Opensource,2
,,,AI,1
,,,motivation,1
,,,nyc,6
,,,marketing,2
,,,inspiration,1
,,,work,1
Mon Nov 09 20:58:52 +0000 2015,@PsychoLess718 listening to you music...again... I like it... #moreplease,moreplease,mindset,1
,,,selfdevelopment,1
,,,localbusiness,1
,,,advertising,1
Mon Nov 09 20:58:53 +0000 2015,💯💯😭😭😭 https://t.co/6yr4qlMIGF,,SMB,1
,,,ad,1
,,,got,1
,,,STRAND,1
Mon Nov 09 20:58:54 +0000 2015,Bored in Bushwick,,lollipops,1
,,,healthyeating,1
,,,vocativ,1
,,,thenewyorkcitymariachiinc,1
Mon Nov 09 20:58:54 +0000 2015,@MCMAddiction because hes is gay,,nycmc,1
,,,nycmariachi,1
,,,mariachinyc,1
,,,lazy,1
Mon Nov 09 20:58:55 +0000 2015,Me gusta ese ambiente que hay en el dugout del Licey.,,Aye,2
,,,Repost,5
,,,immaculateconception,1
,,,eastvillage,1
Mon Nov 09 20:58:54 +0000 2015,"@jaysonst I think Wagner was very Underrated. Matter of fact, I think he was better than Hoffman.",,noho,1
,,,newyorkcity,2
,,,streetart,1
,,,Gitmo,5
Mon Nov 09 20:58:55 +0000 2015,💖 https://t.co/AfYbAvu0Im,,loveyourself,9
,,,music,1
,,,UrbanFitPick,1
,,,IFeelGood,1
Mon Nov 09 20:58:56 +0000 2015,Just went to CVS bought a card and collgate toothpaste and,,PavêNoMTVHits,3
,,,Peru,1
,,,Election2017,1
,,,Healthiestlife,1
Mon Nov 09 20:58:55 +0000 2015,Whoops https://t.co/TVkQYhLMIs,,nightlyshow,1
,,,NYCTravelMassive,1
,,,NYC,6
,,,Travel,1
,,,Election,2
,,,Drake,1
,,,Future,1
,,,Jumpman,1
,,,ux,1
,,,jobs,16
,,,Election2018,1
,,,StopSpectra,2
Mon Nov 09 20:58:56 +0000 2015,"""@acrediitar: Pra você que vive me kibando, kiba isso aqui também."" Lmfaoo",,resistaim,2
,,,Mizzou,1
,,,BlackFriday,1
,,,BlackLivesMatter,1
Mon Nov 09 20:58:57 +0000 2015,I did that shit on purpose ..                                  📷 mighty_muggs @ The Meat Packing… https://t.co/HiMOS1WoAl,,opensource,2
,,,machinelearning,1
,,,Albany,2
,,,job,26
Mon Nov 09 20:58:58 +0000 2015,Just need some time to myself just to be alone,,parttime,1
,,,Election2019,1
,,,disarmament,1
,,,CRUNKEnergy,1
Mon Nov 09 20:58:58 +0000 2015,only jasmine wished me good luck 😩❤️🔐,,Weekend,1
,,,Recovery,1
,,,HappyMonday,2
,,,CLASSIC,1
Mon Nov 09 20:58:58 +0000 2015,@YunBoyWonder ugh,,GL6000,1
,,,GumSoles,1
,,,Tech808s,1
,,,irresistible,1
Mon Nov 09 20:58:59 +0000 2015,"Feeling cruddy, i miss my little buddy",,nuttiness,1
,,,solo,1
,,,2hungrybros,1
,,,Accounting,2
Mon Nov 09 20:59:00 +0000 2015,"If you have a lanyard hanging out of your pocket, I'll call you ""Freshman"" regardless of where we are or your age.",,WhitePlains,2
,,,Healthcare,2
,,,mythology,1
,,,monday,2
Mon Nov 09 20:59:00 +0000 2015,@kuhlaireeetz did you just tweet Taylor Swift lyrics????? Who the hell are you??????????????,,Antiques,1
,,,Boar,1
,,,tapestry,1
,,,sale,1
